amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
error, ,Y,9421625  ,error,  ,error,5/15/2018,C,104(a),error,56.20003(a),5/15/2018,url missing,url missing,"Holley Dirt Company, Inc"
116.00 ,000453336,C,9335384  ,Closed,  ,116.00 ,10/26/2017,10/26/2017,1/13/2018 ,116.00,N,104(a),47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec47-41.pdf,"Holley Dirt Company, Inc"
116.00 ,000453336,C,9335386  ,Closed,  ,116.00 ,10/26/2017,10/26/2017,1/13/2018 ,116.00,N,104(a),56.4601,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-4601.pdf,"Holley Dirt Company, Inc"
116.00 ,000453336,C,9335385  ,Closed,  ,116.00 ,10/26/2017,10/26/2017,1/13/2018 ,116.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-9300.pdf,"Holley Dirt Company, Inc"
116.00 ,000442250,C,8912694  ,Closed,  ,116.00 ,5/15/2017,5/15/2017,8/9/2017 ,116.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14132.pdf,"Holley Dirt Company, Inc"
351.00 ,000427623,C,8638781  ,Closed,  ,351.00 ,11/30/2016,12/1/2016,2/18/2017 ,351.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12028.pdf,"Holley Dirt Company, Inc"
117.00 ,000411633,C,8903434  ,Closed,  ,117.00 ,4/13/2016,4/19/2016,7/6/2016 ,117.00,Y,104(a),46.11(d),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec46-11.pdf,"Holley Dirt Company, Inc"
100.00 ,000411633,C,8903433  ,Closed,  ,100.00 ,4/13/2016,4/19/2016,7/6/2016 ,100.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
117.00 ,000411633,C,8903435  ,Closed,  ,117.00 ,4/13/2016,4/13/2016,7/6/2016 ,117.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-9300.pdf,"Holley Dirt Company, Inc"
100.00 ,000411633,C,8903432  ,Closed,  ,100.00 ,4/13/2016,4/13/2016,7/6/2016 ,100.00,N,104(a),47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec47-41.pdf,"Holley Dirt Company, Inc"
100.00 ,000411633,C,8903436  ,Closed,  ,100.00 ,4/13/2016,4/19/2016,7/6/2016 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-12004.pdf,"Holley Dirt Company, Inc"
100.00 ,000397972,C,8822973  ,Closed,  ,100.00 ,10/7/2015,10/7/2015,1/7/2016 ,100.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,"Holley Dirt Company, Inc"
100.00 ,000397972,C,8822975  ,Closed,  ,100.00 ,10/7/2015,10/27/2015,1/7/2016 ,100.00,Y,104(a),56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
100.00 ,000397972,C,8822974  ,Closed,  ,100.00 ,10/7/2015,10/27/2015,1/7/2016 ,100.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
100.00 ,000397972,C,8822977  ,Closed,  ,100.00 ,10/7/2015,10/13/2015,1/7/2016 ,100.00,N,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-9300.pdf,"Holley Dirt Company, Inc"
100.00 ,000397972,C,8822976  ,Closed,  ,100.00 ,10/7/2015,10/27/2015,1/7/2016 ,100.00,Y,104(a),56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14101.pdf,"Holley Dirt Company, Inc"
